OBJECTID	IN_FID	NEAR_FID	NEAR_DIST	NEAR_RANK	FROM_X	FROM_Y	NEAR_X	NEAR_Y
324	14	2	1695.618872	2	-3.6903729	40.4398904	-3.6773491	40.4514734
325	14	1	2147.918941	3	-3.6903729	40.4398904	-3.6823158	40.4215533
326	14	8	2540.172686	4	-3.6903729	40.4398904	-3.7031662	40.4192091
327	14	0	2570.59323	5	-3.6903729	40.4398904	-3.7122567	40.4238823
328	14	16	2856.454628	6	-3.6903729	40.4398904	-3.6887449	40.4655841
329	14	15	2903.50647	7	-3.6903729	40.4398904	-3.6824999	40.4144444
330	14	3	4338.130421	8	-3.6903729	40.4398904	-3.6392422	40.4400457
331	14	11	4620.551667	9	-3.6903729	40.4398904	-3.7115364	40.4782322
332	14	13	4650.438774	10	-3.6903729	40.4398904	-3.6868138	40.3980991
333	14	9	5215.582045	11	-3.6903729	40.4398904	-3.6453104	40.4079517
334	14	6	5345.077291	12	-3.6903729	40.4398904	-3.7473445	40.4193577
335	14	5	6121.480801	13	-3.6903729	40.4398904	-3.7318356	40.3947825
336	14	20	6540.836637	14	-3.6903729	40.4398904	-3.6605173	40.4942012
337	14	19	6550.897126	15	-3.6903729	40.4398904	-3.7187679	40.3850336
338	14	12	6624.359375	16	-3.6903729	40.4398904	-3.6515286	40.3881478
339	14	22	6692.779317	17	-3.6903729	40.4398904	-3.6163407	40.4607255
340	14	23	6735.830053	18	-3.6903729	40.4398904	-3.6897308	40.5005477
341	14	18	9643.390435	19	-3.6903729	40.4398904	-3.5805649	40.4623628
342	14	17	9962.538461	20	-3.6903729	40.4398904	-3.6121394	40.3730118
343	14	7	10222.95555	21	-3.6903729	40.4398904	-3.5800258	40.4769179
344	14	4	10481.04303	22	-3.6903729	40.4398904	-3.7133167	40.347147
345	14	21	11242.16275	23	-3.6903729	40.4398904	-3.7746101	40.5180701
346	15	1	789.5458968	1	-3.6824999	40.4144444	-3.6823158	40.4215533
347	15	8	1832.058629	2	-3.6824999	40.4144444	-3.7031662	40.4192091
348	15	13	1851.593678	3	-3.6824999	40.4144444	-3.6868138	40.3980991
349	15	0	2734.261277	4	-3.6824999	40.4144444	-3.7122567	40.4238823
350	15	14	2903.50647	5	-3.6824999	40.4144444	-3.6903729	40.4398904
351	15	9	3237.910623	6	-3.6824999	40.4144444	-3.6453104	40.4079517
352	15	12	3929.295886	7	-3.6824999	40.4144444	-3.6515286	40.3881478
353	15	10	4036.590387	8	-3.6824999	40.4144444	-3.7071303	40.4455439
354	15	2	4134.972656	9	-3.6824999	40.4144444	-3.6773491	40.4514734
355	15	19	4488.378329	10	-3.6824999	40.4144444	-3.7187679	40.3850336
356	15	3	4642.913185	11	-3.6824999	40.4144444	-3.6392422	40.4400457
357	15	5	4722.935207	12	-3.6824999	40.4144444	-3.7318356	40.3947825
358	15	6	5530.485231	13	-3.6824999	40.4144444	-3.7473445	40.4193577
359	15	16	5703.375605	14	-3.6824999	40.4144444	-3.6887449	40.4655841
360	15	11	7499.313458	15	-3.6824999	40.4144444	-3.7115364	40.4782322
361	15	17	7540.03899	16	-3.6824999	40.4144444	-3.6121394	40.3730118
362	15	22	7610.594152	17	-3.6824999	40.4144444	-3.6163407	40.4607255
363	15	4	7917.788342	18	-3.6824999	40.4144444	-3.7133167	40.347147
364	15	20	9050.634596	19	-3.6824999	40.4144444	-3.6605173	40.4942012
365	15	23	9580.858287	20	-3.6824999	40.4144444	-3.6897308	40.5005477
366	15	18	10154.46193	21	-3.6824999	40.4144444	-3.5805649	40.4623628
367	15	7	11122.16265	22	-3.6824999	40.4144444	-3.5800258	40.4769179
368	15	21	13908.12354	23	-3.6824999	40.4144444	-3.7746101	40.5180701
369	16	2	1841.053163	1	-3.6887449	40.4655841	-3.6773491	40.4514734
370	16	11	2389.199745	2	-3.6887449	40.4655841	-3.7115364	40.4782322
371	16	10	2717.387658	3	-3.6887449	40.4655841	-3.7071303	40.4455439
372	16	14	2856.454628	4	-3.6887449	40.4655841	-3.6903729	40.4398904
373	16	23	3883.395361	5	-3.6887449	40.4655841	-3.6897308	40.5005477
374	16	20	3978.313961	6	-3.6887449	40.4655841	-3.6605173	40.4942012
375	16	1	4919.649065	7	-3.6887449	40.4655841	-3.6823158	40.4215533
376	16	0	5042.03613	8	-3.6887449	40.4655841	-3.7122567	40.4238823
377	16	3	5067.069906	9	-3.6887449	40.4655841	-3.6392422	40.4400457
378	16	8	5292.977836	10	-3.6887449	40.4655841	-3.7031662	40.4192091
379	16	15	5703.375605	11	-3.6887449	40.4655841	-3.6824999	40.4144444
380	16	22	6164.55288	12	-3.6887449	40.4655841	-3.6163407	40.4607255
381	16	6	7146.030444	13	-3.6887449	40.4655841	-3.7473445	40.4193577
382	16	9	7384.937069	14	-3.6887449	40.4655841	-3.6453104	40.4079517
383	16	13	7495.524286	15	-3.6887449	40.4655841	-3.6868138	40.3980991
384	16	5	8670.708019	16	-3.6887449	40.4655841	-3.7318356	40.3947825
385	16	12	9160.374425	17	-3.6887449	40.4655841	-3.6515286	40.3881478
386	16	18	9182.049991	18	-3.6887449	40.4655841	-3.5805649	40.4623628
387	16	19	9300.341392	19	-3.6887449	40.4655841	-3.7187679	40.3850336
388	16	7	9305.309611	20	-3.6887449	40.4655841	-3.5800258	40.4769179
389	16	21	9325.207526	21	-3.6887449	40.4655841	-3.7746101	40.5180701
390	16	17	12162.91568	22	-3.6887449	40.4655841	-3.6121394	40.3730118
391	16	4	13315.91811	23	-3.6887449	40.4655841	-3.7133167	40.347147
392	17	12	3743.375909	1	-3.6121394	40.3730118	-3.6515286	40.3881478
393	17	9	4794.263388	2	-3.6121394	40.3730118	-3.6453104	40.4079517
394	17	13	6925.689763	3	-3.6121394	40.3730118	-3.6868138	40.3980991
395	17	15	7540.03899	4	-3.6121394	40.3730118	-3.6824999	40.4144444
396	17	3	7791.033672	5	-3.6121394	40.3730118	-3.6392422	40.4400457
397	17	1	8034.220886	6	-3.6121394	40.3730118	-3.6823158	40.4215533
398	17	4	9061.561682	7	-3.6121394	40.3730118	-3.7133167	40.347147
399	17	19	9152.7475	8	-3.6121394	40.3730118	-3.7187679	40.3850336
400	17	8	9275.656046	9	-3.6121394	40.3730118	-3.7031662	40.4192091
401	17	22	9746.486844	10	-3.6121394	40.3730118	-3.6163407	40.4607255
402	17	14	9962.538461	11	-3.6121394	40.3730118	-3.6903729	40.4398904
403	17	0	10205.40164	12	-3.6121394	40.3730118	-3.7122567	40.4238823
404	17	18	10277.29268	13	-3.6121394	40.3730118	-3.5805649	40.4623628
405	17	2	10322.00802	14	-3.6121394	40.3730118	-3.6773491	40.4514734
406	17	5	10447.39001	15	-3.6121394	40.3730118	-3.7318356	40.3947825
407	17	10	11396.54586	16	-3.6121394	40.3730118	-3.7071303	40.4455439
408	17	7	11855.50056	17	-3.6121394	40.3730118	-3.5800258	40.4769179
409	17	16	12162.91568	18	-3.6121394	40.3730118	-3.6887449	40.4655841
410	17	6	12579.54902	19	-3.6121394	40.3730118	-3.7473445	40.4193577
411	17	20	14069.38118	20	-3.6121394	40.3730118	-3.6605173	40.4942012
412	17	11	14410.53899	21	-3.6121394	40.3730118	-3.7115364	40.4782322
413	17	23	15617.38956	22	-3.6121394	40.3730118	-3.6897308	40.5005477
414	17	21	21200.02882	23	-3.6121394	40.3730118	-3.7746101	40.5180701
